veiculo_titulo,veiculo_link_lote,veiculo_imagem,veiculo_patio_uf,veiculo_ano_fabricacao,veiculo_km,veiculo_valor_lance_atual,veiculo_situacao,veiculo_data_leilao,veiculo_tipo_combustivel,veiculo_cor,veiculo_possui_chave,veiculo_tipo_retomada,veiculo_tipo,veiculo_valor_fipe,veiculo_modelo,veiculo_fabricante,veiculo_patio_uf_localizacao
FIAT/ARGO,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/argo/ano.2022/d37ca9d3-fb78-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1751993762630_74326a38-275f-469b-a144-cdf7facf276f_pequena_leilo.webp,CE,2021,N/A,32500.00,Leilão ao vivo em: 3h2m25s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,59571.00,N/A,N/A,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE)
FIAT/STRADA FREEDOM CABINE SIMPLES,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/strada-freedom-cabine-simples/ano.2021/aa222fa3-2807-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896860781_3072abb9-ae39-43bf-b2cf-c6c3ff01667e_pequena_leilo.webp,CE,2021,159.845,46000.00,Leilão ao vivo em: 3h3m21s,09/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,77591.00,N/A,N/A,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/ONIX PLUS 10TAT NB,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-plus-10tat-nb/ano.2020/b3a218bd-41f8-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895972316_04a76477-a3d4-45ab-95fa-90cf104a0570_pequena_leilo.webp,CE,2020,81.211,39000.00,Leilão ao vivo em: 3h3m49s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,69359.00,N/A,N/A,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE)
TOYOTA/YARIS SD XS AT,https://leilo.com.br/leilao/eusebio-ceara/carros/toyota/yaris-sd-xs-at/ano.2019/3d4b12d2-0331-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751911624100_28730c7d-c364-4378-b3dc-7a980a76ca05_pequena_leilo.webp,CE,2018,150.799,43500.00,Leilão ao vivo em: 3h4m16s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,76370.00,N/A,N/A,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/ONIX LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-lt-1.4-mecanico-(4p)/ano.2018/24d43023-147b-11f0-b6cf-02420a00009e,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895032256_18b032f7-421e-4c75-ac43-eb83a2a9c332_pequena_leilo.webp,CE,2018,121.672,32500.00,Leilão ao vivo em: 3h5m43s,09/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,57628.00,N/A,N/A,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE)
FIAT/FIORINO ANCAR AMBULANCIA,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/fiorino-ancar-ambulancia/ano.2018/bc53ac4f-dfd2-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751916361299_e95ab85b-7621-4df2-b981-b73972a9b754_pequena_leilo.webp,CE,2017,153.590,27000.00,Leilão ao vivo em: 3h6m11s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,N/A,N/A,N/A,PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/ONIX 10MT LT2,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10mt-lt2/ano.2025/6f10e428-ee17-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896623262_6a044179-8e7d-4497-ba6c-bc79dba04156_pequena_leilo.webp,CE,2024,3.270,52000.00,Leilão ao vivo em: 3h8m8s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,85086.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
CHEVROLET/TRACKER A PREMIER,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/tracker-a-premier/ano.2022/81b6d263-8b13-11ef-9045-02420a000083,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896832474_39bf13fb-f6ee-4eef-b56c-0783975a1fa3_pequena_leilo.webp,CE,2021,113.243,73000.00,Leilão ao vivo em: 3h8m35s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,111836.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
HYUNDAI/HB20 COMFORT (4P),https://leilo.com.br/leilao/candeias-bahia/carros/hyundai/hb20-comfort-(4p)/ano.2015/73ad836f-47a2-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751551983008_cddda1e3-4ecd-435e-bc80-4078e4ad7878_pequena_leilo.webp,BA,2015,126.774,21400.00,Leilão ao vivo em: 3h9m2s,09/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,42799.00,N/A,N/A,PATIO SALVADOR-BA (CANDEIAS/BA)
TOYOTA/COROLLA XEI FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/toyota/corolla-xei-flex-(4p)/ano.2014/bae91587-46b9-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751551980667_d942ea71-3ef2-4d94-abf7-b253a5c518df_pequena_leilo.webp,CE,2013,131.275,47500.00,Leilão ao vivo em: 3h9m29s,09/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,69028.00,N/A,N/A,PATIO FORTALEZA/CE (EUSÉBIO/CE)
