veiculo_titulo,veiculo_link_lote,veiculo_imagem,veiculo_patio_uf,veiculo_ano_fabricacao,veiculo_km,veiculo_valor_lance_atual,veiculo_situacao,veiculo_data_leilao,veiculo_tipo_combustivel,veiculo_cor,veiculo_possui_chave,veiculo_tipo_retomada,veiculo_tipo,veiculo_valor_fipe,veiculo_fabricante,veiculo_modelo,veiculo_patio_uf_localizacao
VOLKSWAGEN/POLO COMFORTLINE AB (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/volkswagen/polo-comfortline-ab-(4p)/ano.2023/6695b394-5900-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173343614_0ff476e5-8bf5-4b45-95fe-54111964a23e_pequena_leilo.webp,DF,2023,45.223 km,55000.00,Leilão ao vivo em: 4 dias 13h45m57s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,VOLKSWAGEN,POLO COMFORTLINE AB (4P),N/A
CHEVROLET/COBALT LT (4P),https://leilo.com.br/leilao/sao-paulo-sao-paulo/carros/chevrolet/cobalt-lt-(4p)/ano.2020/9fa786c3-94a4-11ef-9088-02420a0000e0,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173101602_14d73f2d-2f80-45e7-afb0-32dc848ce947_pequena_leilo.webp,SP,2019,196.633 km,34900.00,Leilão ao vivo em: 4 dias 13h46m26s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CHEVROLET,COBALT LT (4P),N/A
RENAULT/LOGAN ZEN,https://leilo.com.br/leilao/sao-paulo-sao-paulo/carros/renault/logan-zen/ano.2021/e749e37d-454c-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173070295_ca9fdc8f-f24f-4fce-99d1-34ddb78b047c_pequena_leilo.webp,SP,2020,106.687 km,28100.00,Leilão ao vivo em: 4 dias 13h47m26s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,RENAULT,LOGAN ZEN,N/A
BMW/X5 FB51,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/bmw/x5-fb51/ano.2006/0ff44fe3-52b5-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173341700_9674518d-a28d-4c87-ac15-b2fa2991966a_pequena_leilo.webp,DF,2006,147.568 km,30000.00,Leilão ao vivo em: 4 dias 13h47m55s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,BMW,X5 FB51,N/A
CHEVROLET/C10,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/c10/ano.1983/abba5674-541d-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173407774_cac5a74b-149f-4958-b632-e685c88f17ac_pequena_leilo.webp,GO,2083,45.272 km,29000.00,Leilão ao vivo em: 4 dias 13h48m24s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CHEVROLET,C10,N/A
VOLKSWAGEN/BEETLE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/beetle/ano.2010/bac26848-4542-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173282508_3217d2f1-c30f-4cfe-acf1-fde4413643fa_pequena_leilo.webp,GO,2009,76.264 km,29600.00,Leilão ao vivo em: 4 dias 13h48m53s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,VOLKSWAGEN,BEETLE,N/A
FIAT/UNO DRIVE (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/uno-drive-(4p%2F2p)/ano.2018/49b109af-5b58-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,GO,2017,226.874 km,25000.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FIAT,UNO DRIVE (4P/2P),N/A
CHEVROLET/ONIX 10TMT LT1,https://leilo.com.br/leilao/sao-paulo-sao-paulo/carros/chevrolet/onix-10tmt-lt1/ano.2022/61d03a3e-454c-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752172980500_36ce94cb-908f-4c3d-8622-66848757a193_pequena_leilo.webp,SP,2021,151.245 km,40200.00,Leilão ao vivo em: 4 dias 13h50m22s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CHEVROLET,ONIX 10TMT LT1,N/A
CHEVROLET/TRAILBLAZER PREMIER D4A,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/chevrolet/trailblazer-premier-d4a/ano.2022/139e4533-5772-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173444842_23df38af-c0ac-4007-bb06-9b88bd4e76fa_pequena_leilo.webp,DF,2021,53.658 km,130000.00,Leilão ao vivo em: 4 dias 13h50m51s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,CHEVROLET,TRAILBLAZER PREMIER D4A,N/A
FIAT/FASTBACK AUDACE,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/fiat/fastback-audace/ano.2023/6677889e-5c21-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173257530_929afa29-1531-4c7f-8c0e-f917ab0e00e4_pequena_leilo.webp,DF,2023,51.715 km,78000.00,Leilão ao vivo em: 4 dias 13h51m21s,15/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,FIAT,FASTBACK AUDACE,N/A
