veiculo_titulo,veiculo_link_lote,veiculo_imagem,veiculo_patio_uf,veiculo_ano_fabricacao,veiculo_km,veiculo_valor_lance_atual,veiculo_situacao,veiculo_data_leilao,veiculo_tipo_combustivel,veiculo_cor,veiculo_possui_chave,veiculo_tipo_retomada,veiculo_tipo,veiculo_valor_fipe,veiculo_fabricante,veiculo_modelo,veiculo_versao
VOLKSWAGEN/GOL MB5 (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mb5-(4p%2F2p)/ano.2019/fc29099d-4393-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2019,184.716,27100.00,Leilão ao vivo em: 2 dias 23h37m51s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,48474.00,VOLKSWAGEN,GOL,MB5 (4P/2P)
FORD/KA HATCH SE 1.0 B (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-hatch-se-1.0-b-(4p)/ano.2018/3b83ab45-3d7f-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2018,N/A,22500.00,Leilão ao vivo em: 2 dias 23h38m21s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,40856.00,FORD,KA,HATCH SE 1.0 B (4P)
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2018/b94f7312-a11e-11ef-9088-02420a0000e0,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2017,162.659,25700.00,Leilão ao vivo em: 2 dias 23h38m50s,15/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,46693.00,CHEVROLET,ONIX,JOYE (4P)
CHEVROLET/TRAILBLAZER LTZ D4A,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/trailblazer-ltz-d4a/ano.2018/bf19b3ec-de45-11ef-903d-02420a000042,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2017,215.659,86700.00,Leilão ao vivo em: 2 dias 23h39m19s,15/07/2025,Diesel,Vermelha,Sim,Recuperado de Financiamento,Carros,157592.00,CHEVROLET,TRAILBLAZER,LTZ D4A
TOYOTA/HILUX SW SRX RD (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/hilux-sw-srx-rd-(4p)/ano.2024/26fd5a7d-0e4f-11f0-8c72-02420a00002d,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2023,17.950,185100.00,Leilão ao vivo em: 2 dias 23h39m48s,15/07/2025,Diesel,Prata,Sim,Recuperado de Financiamento,Carros,336370.00,TOYOTA,HILUX,SW SRX RD (4P)
VOLKSWAGEN/SAVEIRO CABINE SIMPLES ROBUST MPI (2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/saveiro-cabine-simples-robust-mpi-(2p)/ano.2023/bec9ed7d-8279-11ef-a1ff-02420a0000dd,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2022,68.857,39700.00,Leilão ao vivo em: 2 dias 23h40m18s,15/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,72062.00,VOLKSWAGEN,SAVEIRO,CABINE SIMPLES ROBUST MPI (2P)
PEUGEOT/207 PASSION XR (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/207-passion-xr-(4p)/ano.2011/4c114ec5-1f96-11f0-abeb-02420a0000a3,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2011,159.439,10900.00,Leilão ao vivo em: 2 dias 23h40m48s,15/07/2025,Flex,Branca,Sim,-,Carros,19719.00,PEUGEOT,207,PASSION XR (4P)
FORD/ECOSPORT FREESTYLE,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ecosport-freestyle/ano.2012/b5d5f60f-4b85-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),2011,202.068,21900.00,Leilão: Leilão: 15/07/2025 Ter • 12:30,15/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,39789.00,FORD,ECOSPORT,FREESTYLE
VOLKSWAGEN/POLO COMFORTLINE AB (4P),https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/volkswagen/polo-comfortline-ab-(4p)/ano.2023/6695b394-5900-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173343614_0ff476e5-8bf5-4b45-95fe-54111964a23e_pequena_leilo.webp,BRASILIA-DF (TAGUATINGA/DF),2023,45.223,55000.00,Leilão ao vivo em: 2 dias 23h42m17s,15/07/2025,Flex,Cinza,Sim,LEILOSHOP,Carros,88898.00,VOLKSWAGEN,POLO,COMFORTLINE AB (4P)
CHEVROLET/COBALT LT (4P),https://leilo.com.br/leilao/sao-paulo-sao-paulo/carros/chevrolet/cobalt-lt-(4p)/ano.2020/9fa786c3-94a4-11ef-9088-02420a0000e0,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173101602_14d73f2d-2f80-45e7-afb0-32dc848ce947_pequena_leilo.webp,PATIO EXTERNO HUB - SÃO PAULO (SÃO PAULO/SP),2019,196.633,34900.00,Leilão ao vivo em: 2 dias 23h42m46s,15/07/2025,Flex,Prata,Sim,-,Carros,60593.00,CHEVROLET,COBALT,LT (4P)
RENAULT/LOGAN ZEN,https://leilo.com.br/leilao/sao-paulo-sao-paulo/carros/renault/logan-zen/ano.2021/e749e37d-454c-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/10/1752173070295_ca9fdc8f-f24f-4fce-99d1-34ddb78b047c_pequena_leilo.webp,LOCAL EXTERNO (VERIFICAR LOCALIZAÇÃO NA DESCRIÇÃO DO LOTE),2020,106.687,28100.00,Leilão ao vivo em: 2 dias 23h43m46s,15/07/2025,Flex,Prata,Sim,-,Carros,50920.00,RENAULT,LOGAN,ZEN
