Título,Link,Imagem,UF,Ano,KM,Valor do Lance,Situação,Data Leilão
FIAT/ARGO DRIVE 1.0 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/argo-drive-1.0-(4p)/ano.2023/c389c4b4-10b1-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/14/1749929105917_9b565b59-6086-4ea3-9dd0-d93160200355_pequena_leilo.webp,N/A,2022,33.801 km,N/A,Finalizado,17/06/2025
RENAULT/CAPTUR ICONIC 1.3T CVT,https://leilo.com.br/leilao/eusebio-ceara/carros/renault/captur-iconic-1.3t-cvt/ano.2024/8d5fb9ed-2cea-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/17/1750158348344_b1c8afa3-2b78-462e-b5e6-7afdfbf78e1f_pequena_leilo.webp,N/A,2023,20.745 km,"R$ 73.500,00",Leilão ao vivo em: 11h5m35s,18/06/2025
CHEVROLET/ONIX PLUS JOY BLACK,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-plus-joy-black/ano.2021/658bd7fe-abf5-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/13/1749826572396_2f071080-7095-4a7f-917d-abff788e324d_pequena_leilo.webp,N/A,2021,84.373 km,"R$ 35.000,00",Leilão ao vivo em: 11h6m34s,18/06/2025
FIAT/FIORINO 1.4 FLEX,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/fiorino-1.4-flex/ano.2020/f801de78-3a54-11f0-9677-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/6/16/1750099056406_08a0998d-170e-4410-b6ce-c0a8e48d512e_pequena_leilo.webp,N/A,2019,103.944 km,"R$ 43.000,00",Leilão ao vivo em: 11h7m29s,18/06/2025
CHEVROLET/CELTA 4P LIFE (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/celta-4p-life-(2p%2F4p)/ano.2009/56e29ab2-4f72-11ef-a2f0-02420a0000f9,https://leilo.cdndp.com.br/v1/arquivo/2025/6/16/1750094973642_c01f44d3-0e5a-4459-8a8d-bd939260efdc_pequena_leilo.webp,N/A,2008,197.555 km,"R$ 10.600,00",Leilão ao vivo em: 11h7m54s,18/06/2025
TOYOTA/COROLLA XEI FLEX (4P),https://leilo.com.br/leilao/eusebio-ceara/carros/toyota/corolla-xei-flex-(4p)/ano.2019/3aa35610-1a2b-11f0-bf87-02420a000088,https://leilo.cdndp.com.br/v1/arquivo/2025/6/16/1750096205325_b42b77c6-1f56-477d-9326-b217b5c0f684_pequena_leilo.webp,N/A,2018,93.286 km,"R$ 74.500,00",Leilão ao vivo em: 11h8m23s,18/06/2025
VOLKSWAGEN/POLO,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/polo/ano.2019/f9389ab6-29e0-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/16/1750106796767_5083a633-8092-452c-9f76-abc31e1e52b8_pequena_leilo.webp,N/A,2019,95.497 km,"R$ 41.500,00",Leilão ao vivo em: 11h8m52s,18/06/2025
CITROEN/C4 CACTUS SHINE,https://leilo.com.br/leilao/eusebio-ceara/carros/citroen/c4-cactus-shine/ano.2022/3cd9ac71-a6a1-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/17/1750180579934_aae284bd-240f-4815-b8f0-947660bed4bd_pequena_leilo.webp,N/A,2022,30.491 km,"R$ 49.300,00",Leilão ao vivo em: 11h10m22s,18/06/2025
NISSAN/FRONTIER LE AT 4X4,https://leilo.com.br/leilao/eusebio-ceara/carros/nissan/frontier-le-at-4x4/ano.2018/0e6498fa-dfd6-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/12/1749761604931_0c9fdc2e-09be-492d-af13-400fc8a130e1_pequena_leilo.webp,N/A,2017,145.219 km,"R$ 62.000,00",Leilão ao vivo em: 11h11m21s,18/06/2025
RENAULT/SANDERO EXPRESSION (2P/4P),https://leilo.com.br/leilao/eusebio-ceara/carros/renault/sandero-expression-(2p%2F4p)/ano.2017/66c9b9c9-d8c7-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/16/1750095765828_ba8a3794-cec3-4c02-a628-39ff53d2c145_pequena_leilo.webp,N/A,2016,134.362 km,"R$ 20.900,00",Leilão ao vivo em: 11h12m20s,18/06/2025
