KM,Link,Detalhe_Combustivel,Detalhe_Cor,Situação,Detalhe_Localizacao,UF,Detalhe_KM_Veiculo,Detalhe_Valor_Mercado,Detalhe_Ano_Veiculo,Detalhe_Possui_Chave,Valor do Lance,Detalhe_Tipo_Retomada,Detalhe_Tipo_Veiculo,Data Leilão,Imagem,Ano,Título
140.155 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2010/d645d8c0-9301-11ef-ab5e-02420a000046,,N/A,Leilão ao vivo em: 3 dias 18h3m23s,N/A,SP,,N/A,,N/A,"R$ 11.900,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278095889_38f6ad07-19c6-4454-89fb-c5cade61837f_pequena_leilo.webp,2010,VOLKSWAGEN/FOX GII 1.0 (2P/4P)
84.960 km,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/654d6c13-cf6a-11ef-8e48-02420a000017,,N/A,Leilão ao vivo em: 3 dias 18h4m21s,N/A,PR,,N/A,,N/A,"R$ 12.700,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278222596_9ce2640c-4eca-4de0-af0b-21ee2e21622a_pequena_leilo.webp,2009,VOLKSWAGEN/GOL 1.0 (2P/4P)
259.322 km,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/nissan/frontier-sv-attack-4x4-cabine-dupla/ano.2014/f2d9fdae-ee25-11ef-bd15-02420a00000b,,N/A,Leilão ao vivo em: 3 dias 18h4m48s,N/A,PR,,N/A,,N/A,"R$ 48.700,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278229934_c04455ba-9f99-47bc-9c60-e05710930d2f_pequena_leilo.webp,2014,NISSAN/FRONTIER SV ATTACK 4X4 CABINE DUPLA
187.414 km,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/citroen/c3-glx-14-flex-(2p%2F4p)/ano.2011/06451539-29bc-11f0-9f79-02420a000005,,N/A,Leilão ao vivo em: 3 dias 18h5m17s,N/A,PR,,N/A,,N/A,"R$ 12.700,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279503881_b54dad6a-1f80-41e8-aecf-36d3f5c22339_pequena_leilo.webp,2011,CITROEN/C3 GLX 14 FLEX (2P/4P)
218.294 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/audi/a3-limousine-i-(4p)/ano.2015/123d92ee-bcb6-11ef-8e48-02420a000017,,N/A,Leilão ao vivo em: 3 dias 18h5m47s,N/A,SP,,N/A,,N/A,"R$ 40.500,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278139959_c7f087a8-82b4-4f4d-8c74-56489a98b9c4_pequena_leilo.webp,2015,AUDI/A3 LIMOUSINE I (4P)
N/A,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2012/e1798bac-163d-11f0-b6cf-02420a00009e,,N/A,Leilão ao vivo em: 3 dias 18h6m47s,N/A,PR,N/A,N/A,,N/A,"R$ 14.400,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279503771_473c55f0-bed3-4821-9b8f-205edf31ad97_pequena_leilo.webp,2011,VOLKSWAGEN/GOL 1.0 (2P/4P)
N/A,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2019/30d66932-8bca-11ef-a6ca-02420a000013,,N/A,Leilão ao vivo em: 3 dias 18h7m14s,N/A,RS,N/A,N/A,,N/A,"R$ 24.700,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278200433_954e038d-e2d2-49ec-af2b-7bfa6daa0190_pequena_leilo.webp,2018,FORD/KA HATCH SE 1.0 C (4P)
N/A,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/bmw/320i-va71/ano.2007/2d4d96c2-be21-11ef-8e48-02420a000017,,N/A,Leilão ao vivo em: 3 dias 18h7m42s,N/A,SP,N/A,N/A,,N/A,"R$ 28.700,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278173307_614ae022-1779-4087-8cc6-c66ae4d86911_pequena_leilo.webp,2006,BMW/320I VA71
139.039 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/gol-1.0-giv-(2p%2F4p)/ano.2014/fe6d7abb-1f72-11ef-b7fa-02420a00001f,N/A,N/A,Leilão ao vivo em: 3 dias 18h8m10s,N/A,SP,N/A,N/A,,N/A,"R$ 17.000,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279413996_d00f5ff0-d567-40ae-b304-b11896119f9a_pequena_leilo.webp,2013,VOLKSWAGEN/GOL 1.0 GIV (2P/4P)
155.047 km,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/fiat/siena-fire-flex-(2p%2F4p)/ano.2010/671dc2e6-1af5-11f0-abeb-02420a0000a3,,N/A,Leilão ao vivo em: 3 dias 18h8m40s,N/A,PR,,N/A,,N/A,"R$ 13.200,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279396095_2e904b99-1268-4b82-8268-f7c5570b60ae_pequena_leilo.webp,2009,FIAT/SIENA FIRE FLEX (2P/4P)
