Situação,Imagem,Ano,KM,Título,UF,Link,Valor do Lance,Data Leilão
Leilão ao vivo em: 2 dias 17h23m1s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278095889_38f6ad07-19c6-4454-89fb-c5cade61837f_pequena_leilo.webp,2010,140.155 km,VOLKSWAGEN/FOX GII 1.0 (2P/4P),SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2010/d645d8c0-9301-11ef-ab5e-02420a000046,"R$ 11.900,00",23/06/2025
Leilão ao vivo em: 2 dias 17h23m59s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278222596_9ce2640c-4eca-4de0-af0b-21ee2e21622a_pequena_leilo.webp,2009,84.960 km,VOLKSWAGEN/GOL 1.0 (2P/4P),PR,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/654d6c13-cf6a-11ef-8e48-02420a000017,"R$ 11.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h24m27s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278229934_c04455ba-9f99-47bc-9c60-e05710930d2f_pequena_leilo.webp,2014,259.322 km,NISSAN/FRONTIER SV ATTACK 4X4 CABINE DUPLA,PR,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/nissan/frontier-sv-attack-4x4-cabine-dupla/ano.2014/f2d9fdae-ee25-11ef-bd15-02420a00000b,"R$ 44.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h24m54s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279503881_b54dad6a-1f80-41e8-aecf-36d3f5c22339_pequena_leilo.webp,2011,187.414 km,CITROEN/C3 GLX 14 FLEX (2P/4P),PR,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/citroen/c3-glx-14-flex-(2p%2F4p)/ano.2011/06451539-29bc-11f0-9f79-02420a000005,"R$ 9.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h25m23s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278139959_c7f087a8-82b4-4f4d-8c74-56489a98b9c4_pequena_leilo.webp,2015,218.294 km,AUDI/A3 LIMOUSINE I (4P),SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/audi/a3-limousine-i-(4p)/ano.2015/123d92ee-bcb6-11ef-8e48-02420a000017,"R$ 44.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h26m22s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279503771_473c55f0-bed3-4821-9b8f-205edf31ad97_pequena_leilo.webp,2011,N/A,VOLKSWAGEN/GOL 1.0 (2P/4P),PR,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2012/e1798bac-163d-11f0-b6cf-02420a00009e,"R$ 10.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h26m51s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278200433_954e038d-e2d2-49ec-af2b-7bfa6daa0190_pequena_leilo.webp,2018,N/A,FORD/KA HATCH SE 1.0 C (4P),RS,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2019/30d66932-8bca-11ef-a6ca-02420a000013,"R$ 17.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h27m21s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278173307_614ae022-1779-4087-8cc6-c66ae4d86911_pequena_leilo.webp,2006,N/A,BMW/320I VA71,SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/bmw/320i-va71/ano.2007/2d4d96c2-be21-11ef-8e48-02420a000017,"R$ 20.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h27m50s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279413996_d00f5ff0-d567-40ae-b304-b11896119f9a_pequena_leilo.webp,2013,139.039 km,VOLKSWAGEN/GOL 1.0 GIV (2P/4P),SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/gol-1.0-giv-(2p%2F4p)/ano.2014/fe6d7abb-1f72-11ef-b7fa-02420a00001f,"R$ 12.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h28m19s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279396095_2e904b99-1268-4b82-8268-f7c5570b60ae_pequena_leilo.webp,2009,155.047 km,FIAT/SIENA FIRE FLEX (2P/4P),PR,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/fiat/siena-fire-flex-(2p%2F4p)/ano.2010/671dc2e6-1af5-11f0-abeb-02420a0000a3,"R$ 10.200,00",23/06/2025
Leilão ao vivo em: 2 dias 17h28m49s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279488760_8dda5c53-ff8d-4255-91a1-9b111634b2a4_pequena_leilo.webp,2018,N/A,TOYOTA/CAMRY XLE,SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/toyota/camry-xle/ano.2019/3b6b00bd-0c99-11ef-b80e-02420a000059,"R$ 86.900,00",23/06/2025
Leilão ao vivo em: 2 dias 17h29m18s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279303603_32134da5-72ae-44c2-b30b-20d280557f85_pequena_leilo.webp,2009,N/A,MITSUBISHI/PAJERO HPE D,PR,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/mitsubishi/pajero-hpe-d/ano.2010/fea1b4a3-b658-11ef-8e48-02420a000017,"R$ 38.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h29m45s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279264147_e5dd279d-a425-4eed-908a-e79a5fcf9374_pequena_leilo.webp,2010,282.195 km,RENAULT/LOGAN EXPRESSION (2P/4P),RS,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/renault/logan-expression-(2p%2F4p)/ano.2011/d4221903-e400-11ef-903d-02420a000042,"R$ 8.000,00",23/06/2025
Leilão ao vivo em: 2 dias 17h30m41s,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279334583_ea886e10-aa73-40fa-85f8-f6ad7cd0cc34_pequena_leilo.webp,2018,180.113 km,RENAULT/SANDERO EXPRESSION (4P),SP,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/renault/sandero-expression-(4p)/ano.2019/ae8347c3-13e6-11f0-b6cf-02420a00009e,"R$ 20.000,00",23/06/2025
