Detalhe_Tipo_Veiculo,Detalhe_Tipo_Retomada,Link,Ano,Data Leilao,Detalhe_Combustivel,Detalhe_Valor_Mercado,Detalhe_Localizacao,KM,Imagem,Valor do Lance,Situação,Título,Detalhe_Ano_Veiculo,Detalhe_Cor,UF,Detalhe_Possui_Chave,Detalhe_KM_Veiculo
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/argo-drive-1.0-(4p)/ano.2020/db508965-358b-11f0-9f79-02420a000005,2019,25/06/2025,Flex,"54.552,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),63.942 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/23/1750702962616_f78e0107-881a-4264-9974-3cec1f7d9e75_pequena_leilo.webp,"R$ 31.200,00",Leilão ao vivo em: 13h49m31s,FIAT/ARGO DRIVE 1.0 (4P),2019,Preta,CE,Sim,63.942
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/toyota/hilux-cle-a-4jd-dupla/ano.2018/b7533a83-f056-11ef-bd15-02420a00000b,2018,25/06/2025,Diesel,"170.518,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),164.289 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750449252867_769475cc-372b-418e-a504-2310211b5a98_pequena_leilo.webp,"R$ 99.200,00",Leilão ao vivo em: 13h49m60s,TOYOTA/HILUX CLE A 4JD DUPLA,2018,Branca,CE,Sim,164.289
N/A,N/A,https://leilo.com.br/leilao/eusebio-ceara/carros/jeep/compass-longitude-f/ano.2018/5078cdd1-065b-11f0-8c72-02420a00002d,2017,25/06/2025,N/A,N/A,N/A,92.827 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423834482_ccea881f-6502-4e95-ac76-437dee180197_pequena_leilo.webp,"R$ 54.700,00",Leilão ao vivo em: 13h50m27s,JEEP/COMPASS LONGITUDE F,N/A,N/A,CE,N/A,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/spin-ltz--1.8l-automatico/ano.2018/b6bd81eb-0b49-11f0-8c72-02420a00002d,2017,25/06/2025,Flex,"63.227,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),113.346 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423819533_d3474482-9959-4f7e-b66c-d29c952dacc2_pequena_leilo.webp,"R$ 31.000,00",Leilão ao vivo em: 13h50m56s,CHEVROLET/SPIN LTZ 1.8L AUTOMATICO,2017,Branca,CE,Sim,113.346
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-lt-1.4-mecanico-(4p)/ano.2018/24d43023-147b-11f0-b6cf-02420a00009e,2018,25/06/2025,Flex,"57.628,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),121.672 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750449327291_77af4405-e549-444d-be4d-649a4b5a508e_pequena_leilo.webp,"R$ 34.900,00",Leilão ao vivo em: 13h51m25s,CHEVROLET/ONIX LT 1.4 MECANICO (4P),2018,Vermelha,CE,Sim,121.672
N/A,N/A,https://leilo.com.br/leilao/eusebio-ceara/carros/renault/captur-iconic-1.3t-cvt/ano.2024/8d5fb9ed-2cea-11f0-9f79-02420a000005,2023,25/06/2025,N/A,N/A,N/A,20.745 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750449401488_b77e15db-f303-45af-93da-9cd7501896fc_pequena_leilo.webp,"R$ 69.600,00",Leilão ao vivo em: 13h51m54s,RENAULT/CAPTUR ICONIC 1.3T CVT,N/A,N/A,CE,N/A,N/A
N/A,N/A,https://leilo.com.br/leilao/eusebio-ceara/carros/kia/uk2500-hd-sc-(2p)/ano.2022/e5c03031-f08f-11ef-bd15-02420a00000b,2021,25/06/2025,N/A,N/A,N/A,116.850 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750795773568_60f1cf91-08b3-4ecf-903b-131aacfb0fbe_pequena_leilo.webp,"R$ 74.000,00",Leilão ao vivo em: 13h52m23s,KIA/UK2500 HD SC (2P),N/A,N/A,CE,N/A,N/A
N/A,N/A,https://leilo.com.br/leilao/eusebio-ceara/carros/toyota/hilux-cd-srx-a-4fd/ano.2022/80c8c00f-3cab-11f0-b593-02420a000005,2021,25/06/2025,N/A,N/A,N/A,91.021 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750768533954_88df05ed-5583-4dfb-91ed-68faf241d251_pequena_leilo.webp,"R$ 151.800,00",Leilão ao vivo em: 13h52m53s,TOYOTA/HILUX CD SRX A 4FD,N/A,N/A,CE,N/A,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/renault/kwid-zen-1.0-mecanico-(4p)/ano.2018/3c3df4d5-4156-11f0-b593-02420a000005,2017,25/06/2025,Flex,"37.670,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),124.632 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423265633_74284697-4bd7-432c-916b-9d619d0ddc38_pequena_leilo.webp,"R$ 18.000,00",Leilão ao vivo em: 13h53m22s,RENAULT/KWID ZEN 1.0 MECANICO (4P),2017,Branca,CE,Sim,124.632
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-plus-10tmt-ltz/ano.2021/3e77cf92-1545-11f0-b6cf-02420a00009e,2020,25/06/2025,Flex,"70.521,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),109.583 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750422970099_bd020b9f-93f0-491e-95f2-7797bd4dea94_pequena_leilo.webp,"R$ 38.000,00",Leilão ao vivo em: 13h53m52s,CHEVROLET/ONIX PLUS 10TMT LTZ,2020,Prata,CE,Sim,109.583
N/A,N/A,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/strada-hard-working-cabine-simples-cc-e/ano.2020/f9ef2ba4-ede5-11ef-bd15-02420a00000b,2019,25/06/2025,N/A,N/A,N/A,168.021 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750452576102_de6f705e-0bc1-46c4-b7c8-f87d49d5ecd2_pequena_leilo.webp,"R$ 30.200,00",Leilão ao vivo em: 13h54m53s,FIAT/STRADA HARD WORKING CABINE SIMPLES CC E,N/A,N/A,CE,N/A,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/renault/fluence-dynamique-(4p)/ano.2016/71a87272-7d04-11ef-a1ff-02420a0000dd,2015,25/06/2025,Flex,"51.446,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),192.777 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750422756305_eafe8bba-f5a9-4f85-aece-3746f3b3412a_pequena_leilo.webp,"R$ 25.000,00",Leilão ao vivo em: 13h55m22s,RENAULT/FLUENCE DYNAMIQUE (4P),2015,Prata,CE,Sim,192.777
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/candeias-bahia/carros/ford/ka-se-b-(4p)/ano.2018/d7a9b251-dffc-11ef-903d-02420a000042,2018,25/06/2025,Flex,"43.115,00",PATIO SALVADOR-BA (CANDEIAS/BA),172.384 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750422767525_ee5b7330-3ed5-4740-840b-853254a40123_pequena_leilo.webp,"R$ 25.000,00",Leilão ao vivo em: 13h55m52s,FORD/KA SE B (4P),2018,Prata,BA,Sim,172.384
N/A,N/A,https://leilo.com.br/leilao/candeias-bahia/carros/ford/fiesta-sedan-1.6-flex-(4p)/ano.2013/9d5c1bf6-ed61-11ef-bd15-02420a00000b,2012,25/06/2025,N/A,N/A,N/A,203.167 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423127052_013a1b64-945f-4159-a239-c49ea6070527_pequena_leilo.webp,"R$ 16.000,00",Leilão ao vivo em: 13h56m21s,FORD/FIESTA SEDAN 1.6 FLEX (4P),N/A,N/A,BA,N/A,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2012/20680c4e-3d86-11f0-b593-02420a000005,2011,25/06/2025,Flex,"25.523,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),114.016 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750452542995_eee0f568-8526-4cce-b7ef-f957ece1559e_pequena_leilo.webp,"R$ 12.000,00",Leilão ao vivo em: 13h56m50s,VOLKSWAGEN/GOL 1.0 (2P/4P),2011,Prata,CE,Sim,114.016
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/doblo-adventure-flex/ano.2013/7ced8de6-a5a5-11ef-8e48-02420a000017,2012,25/06/2025,Flex,"48.580,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),372.222 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423113625_9e660255-f019-451e-8ae6-11d1c87163be_pequena_leilo.webp,"R$ 24.000,00",Leilão ao vivo em: 13h57m20s,FIAT/DOBLO ADVENTURE FLEX,2012,Verde,CE,Sim,372.222
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2019/25010223-ff3f-11ef-8c72-02420a00002d,2019,25/06/2025,Flex,"45.131,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),137.404 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423148425_bf0bd9fc-1d64-4f2e-b4b9-f1ad775b7f8a_pequena_leilo.webp,"R$ 22.000,00",Leilão ao vivo em: 13h57m49s,FORD/KA HATCH SE 1.0 C (4P),2019,Branca,CE,Sim,137.404
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/candeias-bahia/carros/renault/clio-expression-10-16vh-(4p%2F2p)/ano.2015/aec462a6-e09f-11ef-903d-02420a000042,2014,25/06/2025,Flex,"30.947,00",PATIO SALVADOR-BA (CANDEIAS/BA),N/A,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423096270_874f1108-4db2-45cb-a63f-6ddbb1b913a5_pequena_leilo.webp,"R$ 15.000,00",Leilão ao vivo em: 13h58m18s,RENAULT/CLIO EXPRESSION 10 16VH (4P/2P),2014,Vermelha,BA,Não,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/prisma-lt-1.4-mecanico-(4p)/ano.2016/c61d93b9-ed43-11ef-bd15-02420a00000b,2016,25/06/2025,Flex,"51.099,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),224.049 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423085966_9256ff52-afb5-4696-9787-54a17a42ad64_pequena_leilo.webp,"R$ 25.000,00",Leilão ao vivo em: 13h58m47s,CHEVROLET/PRISMA LT 1.4 MECANICO (4P),2016,Branca,CE,Sim,224.049
N/A,N/A,https://leilo.com.br/leilao/candeias-bahia/carros/nissan/sentra-s-(4p)/ano.2009/aee70eff-05be-11f0-8c72-02420a00002d,2008,25/06/2025,N/A,N/A,N/A,N/A,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423067177_fe039928-ff54-451e-a812-df6bad9e90cc_pequena_leilo.webp,"R$ 5.000,00",Leilão ao vivo em: 13h59m15s,NISSAN/SENTRA S (4P),N/A,N/A,BA,N/A,N/A
N/A,N/A,https://leilo.com.br/leilao/eusebio-ceara/carros/renault/sandero-expression-(2p%2F4p)/ano.2017/66c9b9c9-d8c7-11ef-903d-02420a000042,2016,25/06/2025,N/A,N/A,N/A,134.362 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423052685_d105426c-e86a-4711-aa92-9b1a374028dd_pequena_leilo.webp,"R$ 20.000,00",Leilão ao vivo em: 13h59m43s,RENAULT/SANDERO EXPRESSION (2P/4P),N/A,N/A,CE,N/A,N/A
N/A,N/A,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/idea-adventure/ano.2015/b520c67b-2605-11f0-bcc9-02420a000216,2014,25/06/2025,N/A,N/A,N/A,N/A,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750786954329_86bb5dfb-933d-4dc4-8f1c-fad20afe1c6e_pequena_leilo.webp,"R$ 18.000,00",Leilão ao vivo em: 14h12s,FIAT/IDEA ADVENTURE,N/A,N/A,CE,N/A,N/A
N/A,N/A,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-city-mb-(2p%2F4p)/ano.2015/93ca5c0f-2520-11f0-bcc9-02420a000216,2014,25/06/2025,N/A,N/A,N/A,141.640 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/23/1750702834142_36211650-5059-4684-919b-203d5758a07b_pequena_leilo.webp,"R$ 16.000,00",Leilão ao vivo em: 14h42s,VOLKSWAGEN/GOL CITY MB (2P/4P),N/A,N/A,CE,N/A,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/renault/kwid-zen-1.0-mecanico-(4p)/ano.2018/9b5035c9-42e5-11f0-b593-02420a000005,2017,25/06/2025,Flex,"37.670,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),115.518 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750443955419_d7e10805-14d5-441d-b271-d468e960ede0_pequena_leilo.webp,"R$ 20.000,00",Leilão ao vivo em: 14h1m11s,RENAULT/KWID ZEN 1.0 MECANICO (4P),2017,Prata,CE,Sim,115.518
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/zafira-comfort/ano.2005/9325aa3d-92d9-11ef-b411-02420a0000bf,2005,25/06/2025,Flex,"20.204,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),63.182 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423149050_6ef1511a-1ce7-4826-ac30-4510b4323235_pequena_leilo.webp,"R$ 10.000,00",Leilão ao vivo em: 14h1m40s,CHEVROLET/ZAFIRA COMFORT,2005,Cinza,CE,Sim,63.182
N/A,N/A,https://leilo.com.br/leilao/candeias-bahia/carros/citroen/c3-aircross-glx/ano.2014/9881de13-356e-11f0-9f79-02420a000005,2013,25/06/2025,N/A,N/A,N/A,N/A,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750444039016_e73fc827-0317-4230-b3de-255a7957f1de_pequena_leilo.webp,"R$ 20.000,00",Leilão ao vivo em: 14h2m10s,CITROEN/C3 AIRCROSS GLX,N/A,N/A,BA,N/A,N/A
N/A,N/A,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/siena-attractive-(4p)/ano.2017/a87a6fbd-210e-11f0-bcc9-02420a000216,2016,25/06/2025,N/A,N/A,N/A,158.422 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750452552300_c4250982-794b-49c0-8357-67348f436d32_pequena_leilo.webp,"R$ 23.000,00",Leilão ao vivo em: 14h2m39s,FIAT/SIENA ATTRACTIVE (4P),N/A,N/A,CE,N/A,N/A
N/A,N/A,https://leilo.com.br/leilao/candeias-bahia/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/9032efe6-9796-11ef-9088-02420a0000e0,2010,25/06/2025,N/A,N/A,N/A,132.862 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750422996523_2590ca99-14dc-4d8b-ab54-14bc64840cb6_pequena_leilo.webp,"R$ 12.600,00",Leilão ao vivo em: 14h3m8s,VOLKSWAGEN/GOL 1.0 (2P/4P),N/A,N/A,BA,N/A,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/cruze-hatch-lt-hb-(4p)/ano.2012/7c647b33-f69f-11ef-9028-02420a000044,2012,25/06/2025,Flex,"51.119,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),175.265 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750452586725_5e29b72a-05e8-4332-87a9-b484300911d2_pequena_leilo.webp,"R$ 28.000,00",Leilão ao vivo em: 14h3m37s,CHEVROLET/CRUZE HATCH LT HB (4P),2012,Prata,CE,Sim,175.265
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/jeep/renegade-sport-automatico/ano.2017/e23825b2-324d-11f0-9f79-02420a000005,2016,25/06/2025,Flex,"67.822,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),151.950 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750452603298_8812db43-24b5-4e9a-bd7d-58f41bc0ec61_pequena_leilo.webp,"R$ 37.000,00",Leilão ao vivo em: 14h4m7s,JEEP/RENEGADE SPORT AUTOMATICO,2016,Branca,CE,Sim,151.950
