Veiculo_Titulo,Veiculo_Link_Lote,Veiculo_Imagem,Veiculo_Patio_UF,Veiculo_Ano_Fabricacao,Veiculo_KM,Veiculo_Valor_Lance_Atual,Veiculo_Situacao,Veiculo_Data_Leilao,Veiculo_Tipo_Combustivel,Veiculo_Cor,Veiculo_Possui_Chave,Veiculo_Tipo_Retomada,Veiculo_Tipo,Veiculo_Valor_Fipe,Veiculo_Fabricante,Veiculo_Modelo,Veiculo_Patio_UF_Localizacao
VOLKSWAGEN/GOLF SPORTLINE (4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/volkswagen/golf-sportline-(4p)/ano.2011/ccc5faa3-96c4-11ef-9088-02420a0000e0,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288672731_6eaaec8d-83d7-4346-96c8-41e83ad86430_pequena_leilo.webp,PR,2011,N/A,"R$ 25.900,00",Leilão ao vivo em: 2 dias 6h3m25s,07/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,"46.208,00",N/A,N/A,PATIO CURITIBA - PR (SÃO JOSÉ DOS PINHAIS/PR)
NISSAN/LIVINA S,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/nissan/livina-s/ano.2012/a59dc480-fb90-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751289000645_b496e4bd-12e6-4747-8988-72c67f64749f_pequena_leilo.webp,PR,2011,1.000.000,"R$ 12.000,00",Leilão ao vivo em: 2 dias 6h3m51s,07/07/2025,Flex,Branca,Não,Recuperado de Financiamento,Carros,"30.521,00",N/A,N/A,PATIO CURITIBA - PR (SÃO JOSÉ DOS PINHAIS/PR)
RENAULT/LOGAN EXPRESSION (4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/renault/logan-expression-(4p)/ano.2015/d95d9131-d8cb-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751289003898_bae0405c-de9a-41e7-adab-9364a53d3132_pequena_leilo.webp,PR,2014,160.457,"R$ 19.600,00",Leilão ao vivo em: 2 dias 6h4m15s,07/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,"33.957,00",N/A,N/A,PATIO CURITIBA - PR (SÃO JOSÉ DOS PINHAIS/PR)
NISSAN/FRONTIER SV ATTACK 4X4 CABINE DUPLA,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/nissan/frontier-sv-attack-4x4-cabine-dupla/ano.2014/f2d9fdae-ee25-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288971489_3a9b6df5-087e-4ddf-9f5e-57cba45febed_pequena_leilo.webp,PR,2014,259.322,"R$ 35.000,00",Leilão ao vivo em: 2 dias 6h4m45s,07/07/2025,Diesel,Branca,Sim,Recuperado de Financiamento,Carros,"88.473,00",N/A,N/A,PATIO CURITIBA - PR (SÃO JOSÉ DOS PINHAIS/PR)
FORD/FOCUS 2.0L FC (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/ford/focus-2.0l-fc-(4p)/ano.2005/6e55e439-ae8d-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288700652_a5e08044-f7eb-401c-a585-99ceeb9fb431_pequena_leilo.webp,SP,2005,268.241,"R$ 4.000,00",Leilão ao vivo em: 2 dias 6h5m14s,07/07/2025,Gasolina,Branca,Sim,Recuperado de Financiamento,Carros,"19.142,00",N/A,N/A,PATIO SAO CARLOS-SP (SÃO CARLOS/SP)
LAND ROVER/EVOQUE PURE P5D,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/land-rover/evoque-pure-p5d/ano.2012/c6268cce-3a5b-11f0-9677-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288971355_278619de-aa79-4d18-8795-d0ce9d735222_pequena_leilo.webp,SP,2012,212.226,"R$ 43.000,00",Leilão ao vivo em: 2 dias 6h5m44s,07/07/2025,Gasolina,Vermelha,Sim,Recuperado de Financiamento,Carros,"86.078,00",N/A,N/A,PATIO SAO CARLOS-SP (SÃO CARLOS/SP)
CITROEN/C3 GLX 14 FLEX (2P/4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/citroen/c3-glx-14-flex-(2p%2F4p)/ano.2011/06451539-29bc-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288730552_ea5133a9-bb05-42c3-b038-c7442d6a8097_pequena_leilo.webp,PR,2011,187.414,"R$ 8.000,00",Leilão ao vivo em: 2 dias 6h6m11s,07/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,"23.085,00",N/A,N/A,PATIO CURITIBA - PR (SÃO JOSÉ DOS PINHAIS/PR)
CHEVROLET/CELTA LT 1.0L (2P/4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/chevrolet/celta-lt-1.0l-(2p%2F4p)/ano.2012/cb7c8451-cea3-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288732555_b17f7818-44a0-4627-a1c3-976e83660b8f_pequena_leilo.webp,PR,2012,141.221,"R$ 12.000,00",Leilão ao vivo em: 2 dias 6h6m41s,07/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,"28.881,00",N/A,N/A,PATIO CURITIBA - PR (SÃO JOSÉ DOS PINHAIS/PR)
CHEVROLET/ONIX JOYE (4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/chevrolet/onix-joye-(4p)/ano.2019/16c869bb-3d63-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288940787_60191ad2-db5a-4c67-93b8-a45a5e04049b_pequena_leilo.webp,PR,2019,142.726,"R$ 25.000,00",Leilão ao vivo em: 2 dias 6h7m10s,07/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,"50.183,00",N/A,N/A,PATIO CURITIBA - PR (SÃO JOSÉ DOS PINHAIS/PR)
PEUGEOT/207 XR (2P/4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/peugeot/207-xr-(2p%2F4p)/ano.2011/4a911237-2607-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288942586_6c0e2322-2795-4bf2-a787-798ef1a16402_pequena_leilo.webp,SP,2010,161.331,"R$ 8.000,00",Leilão ao vivo em: 2 dias 6h7m39s,07/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,"20.272,00",N/A,N/A,PATIO SAO CARLOS-SP (SÃO CARLOS/SP)
