URL do Lote,Nome do Veículo (Header),Marca,Modelo,Versão,Ano de Fabricação,Ano Modelo,Fipe,Blindado,Chave,Funcionando,Combustível,Km,Número de Lances,Número de Visualizações,Data do Leilão,Horário do Leilão,Lance Atual,Situação do Lote
https://loopbrasil.net/lote/JEEP-RENEGADE-20-20-/29198/,N/A,JEEP,RENEGADE,N/A,2020,2020,"R$ 82.619,00",Não,Sim,Sim,FLEX (ALCOOL/GASOLINA),13.401,N/A,N/A,N/A,N/A,N/A,N/A
https://loopbrasil.net/lote/MINI-COOPER-17-17-/29199/,N/A,MINI,COOPER,COOPER COUNTRYMAN S ALL4 2.0 16V TWIN TURBO,2017,2017,"R$ 118.287,00",Não,N/A,Sim,GASOLINA,33.910,N/A,N/A,N/A,N/A,N/A,N/A
https://loopbrasil.net/lote/CHEVROLET-PRISMA-19-19-/29200/,N/A,CHEVROLET,PRISMA,PRISMA JOY 1.0 ECO,2019,2019,"R$ 47.874,00",Não,Sim,Sim,FLEX (ALCOOL/GASOLINA),60.132,N/A,N/A,N/A,N/A,N/A,N/A
https://loopbrasil.net/lote/TOYOTA-HILUX-CD-21-21-/29201/,N/A,TOYOTA,HILUX CD,HILUX CD SRV 2.8 D-4D TURBO,2021,2021,"R$ 211.159,00",NÃO,N/A,SIM,DIESEL,34.471,N/A,N/A,N/A,N/A,N/A,N/A
https://loopbrasil.net/lote/VOLKSWAGEN-GOL-10-10-/29202/,N/A,VOLKSWAGEN,GOL,GOL CITY 1.0 TOTAL FLEX,2010,2010,"R$ 24.031,00",NÃO,N/A,SIM,FLEX (ÁLCOOL/GASOLINA),186.402,N/A,N/A,N/A,N/A,N/A,N/A
https://loopbrasil.net/lote/VOLKSWAGEN-GOLF-15-15-/29203/,N/A,VOLKSWAGEN,GOLF GTI,N/A,2015,2015,"R$ 134.787,00",Não,Sim,Sim,GASOLINA,46.281,N/A,N/A,N/A,N/A,N/A,N/A
https://loopbrasil.net/lote/JEEP-RENEGADE-18-19-/29204/,N/A,JEEP,RENEGADE,RENEGADE SPORT 1.8 16V E.TORQ EVO,2018,2019,"R$ 73.355,00",Não,N/A,Sim,FLEX (ALCOOL/GASOLINA),47.014,N/A,N/A,N/A,N/A,N/A,N/A
https://loopbrasil.net/lote/CHEVROLET-ONIX-21-22-/29205/,N/A,CHEVROLET,ONIX,ONIX RS AT 1.0 12V ECOTEC TURBO,2021,2022,"R$ 84.305,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),31.399,N/A,N/A,N/A,N/A,N/A,N/A
https://loopbrasil.net/lote/MERCEDES-BENZ-CLASSE-GLE-21-21-/29206/,N/A,MERCEDES BENZ,CLASSE GLE,CLASSE GLE 400D 4MATIC 3.0 I6 TURBO,2021,2021,"R$ 443.322,00",NÃO,N/A,SIM,DIESEL,45.413,N/A,N/A,N/A,N/A,N/A,N/A
https://loopbrasil.net/lote/RENAULT-DUSTER-20-20-/29207/,N/A,RENAULT,DUSTER OROCH,DUSTER OROCH DYNAMIQUE 2.0 16V,2020,2020,"R$ 79.171,00",Não,N/A,Sim,FLEX (ALCOOL/GASOLINA),41.738,N/A,N/A,N/A,N/A,N/A,N/A
