URL do Lote,Nome do Veículo (Header),Marca,Modelo,Versão,Ano de Fabricação,Ano Modelo,Fipe,Blindado,Chave,Funcionando,Combustível,Km,Número de Lances,Número de Visualizações,Data do Leilão,Horário do Leilão,Lance Atual,Situação do Lote
https://loopbrasil.net/lote/CHEVROLET-ONIX-21-22-/29299/,CHEVROLET ONIX 21/22,CHEVROLET,ONIX,ONIX AT 1.0 12V ECOTEC TURBO,2021,2022,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),11.390,N/A,N/A,14/07/2025,09:30,"R$ 26.800,00",N/A
https://loopbrasil.net/lote/JEEP-RENEGADE-20-20-/29198/,JEEP RENEGADE 20/20,JEEP,RENEGADE,N/A,2020,2020,"R$ 82.619,00",Não,Sim,Sim,FLEX (ALCOOL/GASOLINA),13.401,N/A,N/A,10/07/2025,09:30,"R$ 31.800,00",N/A
https://loopbrasil.net/lote/FORD-KA-19-20-/29300/,FORD KA 19/20,FORD,KA,KA SE 1.0 12V TIVCT,2019,2020,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),15.515,N/A,N/A,14/07/2025,09:31,"R$ 13.500,00",N/A
https://loopbrasil.net/lote/MINI-COOPER-17-17-/29199/,MINI COOPER 17/17,MINI,COOPER,COOPER COUNTRYMAN S ALL4 2.0 16V TWIN TURBO,2017,2017,"R$ 118.287,00",Não,N/A,Sim,GASOLINA,33.910,N/A,N/A,10/07/2025,09:31,"R$ 45.100,00",N/A
https://loopbrasil.net/lote/CHEVROLET-PRISMA-19-19-/29200/,CHEVROLET PRISMA 19/19,CHEVROLET,PRISMA,PRISMA JOY 1.0 ECO,2019,2019,"R$ 47.874,00",Não,Sim,Sim,FLEX (ALCOOL/GASOLINA),60.132,N/A,N/A,10/07/2025,09:32,"R$ 19.000,00",N/A
https://loopbrasil.net/lote/VOLKSWAGEN-NIVUS-21-21--/29301/,VOLKSWAGEN NIVUS 21/21,VOLKSWAGEN,NIVUS,NIVUS HIGHLINE 200 AT 1.0 12V TSI TURBO,2021,2021,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),7.244,N/A,N/A,14/07/2025,09:32,"R$ 30.600,00",N/A
https://loopbrasil.net/lote/BMW-X1-17-17-/29302/,BMW X1 17/17,BMW,X1,X1 SDRIVE 20I ACTIVE FLEX 2.0 16V TWIN TURBO,2017,2017,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),56.969,N/A,N/A,14/07/2025,09:33,"R$ 38.600,00",N/A
https://loopbrasil.net/lote/TOYOTA-HILUX-CD-21-21-/29201/,TOYOTA HILUX CD 21/21,TOYOTA,HILUX CD,HILUX CD SRV 2.8 D-4D TURBO,2021,2021,"R$ 211.159,00",NÃO,N/A,SIM,DIESEL,34.471,N/A,N/A,10/07/2025,09:33,"R$ 91.700,00",N/A
https://loopbrasil.net/lote/TOYOTA-ETIOS-SEDAN-16-17-/29303/,TOYOTA ETIOS SEDAN 16/17,TOYOTA,ETIOS SEDAN,ETIOS SEDAN PLATINUM AT 1.5 16V DUAL VVT-I,2016,2017,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),113.284,N/A,N/A,14/07/2025,09:34,"R$ 15.100,00",N/A
https://loopbrasil.net/lote/VOLKSWAGEN-GOL-10-10-/29202/,VOLKSWAGEN GOL 10/10,VOLKSWAGEN,GOL,GOL CITY 1.0 TOTAL FLEX,2010,2010,"R$ 24.031,00",NÃO,N/A,SIM,FLEX (ÁLCOOL/GASOLINA),186.402,N/A,N/A,10/07/2025,09:34,"R$ 11.100,00",N/A
https://loopbrasil.net/lote/CHEVROLET-PRISMA-19-19-/29304/,CHEVROLET PRISMA 19/19,CHEVROLET,PRISMA,PRISMA JOY 1.0 ECO,2019,2019,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),139.676,N/A,N/A,14/07/2025,09:35,"R$ 14.100,00",N/A
https://loopbrasil.net/lote/VOLKSWAGEN-GOLF-15-15-/29203/,VOLKSWAGEN GOLF 15/15,VOLKSWAGEN,GOLF GTI,N/A,2015,2015,"R$ 134.787,00",Não,Sim,Sim,GASOLINA,46.281,N/A,N/A,10/07/2025,09:35,"R$ 29.600,00",N/A
https://loopbrasil.net/lote/JEEP-RENEGADE-18-19-/29204/,JEEP RENEGADE 18/19,JEEP,RENEGADE,RENEGADE SPORT 1.8 16V E.TORQ EVO,2018,2019,"R$ 73.355,00",Não,N/A,Sim,FLEX (ALCOOL/GASOLINA),47.014,N/A,N/A,10/07/2025,09:36,"R$ 31.200,00",N/A
https://loopbrasil.net/lote/TOYOTA-HILUX-CD-21-21-/29305/,TOYOTA HILUX CD 21/21,TOYOTA,HILUX CD,HILUX CD SRV 2.8 D-4D TURBO,2021,2021,N/A,NÃO,N/A,SIM,DIESEL,17.554,N/A,N/A,14/07/2025,09:36,"R$ 76.600,00",N/A
https://loopbrasil.net/lote/CHEVROLET-ONIX-21-22-/29205/,CHEVROLET ONIX 21/22,CHEVROLET,ONIX,ONIX RS AT 1.0 12V ECOTEC TURBO,2021,2022,"R$ 84.305,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),31.399,N/A,N/A,10/07/2025,09:37,"R$ 29.100,00",N/A
https://loopbrasil.net/lote/TOYOTA-COROLLA-21-21-/29306/,TOYOTA COROLLA 21/21,TOYOTA,COROLLA,COROLLA ALTIS HYBRID PREMIUM PACK 1.8 16V DUAL VVT-I,2021,2021,N/A,NÃO,N/A,SIM,HIBRIDO (GASOLINA/ALCOOL/ELÉTRICO),56.484,N/A,N/A,14/07/2025,09:37,"R$ 42.200,00",N/A
https://loopbrasil.net/lote/MERCEDES-BENZ-CLASSE-GLE-21-21-/29206/,MERCEDES BENZ CLASSE GLE 21/21,MERCEDES BENZ,CLASSE GLE,CLASSE GLE 400D 4MATIC 3.0 I6 TURBO,2021,2021,"R$ 443.322,00",NÃO,N/A,SIM,DIESEL,45.413,N/A,N/A,10/07/2025,09:38,"R$ 115.300,00",N/A
https://loopbrasil.net/lote/VOLKSWAGEN-GOL-20-21-/29307/,VOLKSWAGEN GOL 20/21,VOLKSWAGEN,GOL,GOL 1.0 12V MPI,2020,2021,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),91.430,N/A,N/A,14/07/2025,09:38,"R$ 16.000,00",N/A
https://loopbrasil.net/lote/RENAULT-DUSTER-20-20-/29207/,RENAULT DUSTER 20/20,RENAULT,DUSTER OROCH,DUSTER OROCH DYNAMIQUE 2.0 16V,2020,2020,"R$ 79.171,00",Não,N/A,Sim,FLEX (ALCOOL/GASOLINA),41.738,N/A,N/A,10/07/2025,09:39,"R$ 27.200,00",N/A
https://loopbrasil.net/lote/VOLKSWAGEN-NIVUS-21-22-/29308/,VOLKSWAGEN NIVUS 21/22,VOLKSWAGEN,NIVUS,NIVUS COMFORTLINE 200 AT 1.0 12V TSI TURBO,2021,2022,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),13.430,N/A,N/A,14/07/2025,09:39,"R$ 30.200,00",N/A
https://loopbrasil.net/lote/CHEVROLET-ONIX-21-21-/29208/,CHEVROLET ONIX 21/21,CHEVROLET,ONIX PLUS,ONIX PLUS PREMIER AT 1.0 12V ECOTEC TURBO,2021,2021,"R$ 77.871,00",Não,N/A,Sim,FLEX (ALCOOL/GASOLINA),19.997,N/A,N/A,10/07/2025,09:40,"R$ 25.600,00",N/A
https://loopbrasil.net/lote/HONDA-CITY-17-17-/29309/,HONDA CITY 17/17,HONDA,CITY,CITY LX 1.5 16V I-VTEC,2017,2017,N/A,NÃO,N/A,SIM,FLEXIVEL (ALCOOL/GASOLINA),77.416,N/A,N/A,14/07/2025,09:40,"R$ 18.300,00",N/A
https://loopbrasil.net/lote/CHEVROLET-TRACKER-19-19-/29209/,CHEVROLET TRACKER 19/19,CHEVROLET,TRACKER PREMIER,N/A,2019,2019,"R$ 89.899,00",Não,Sim,Sim,FLEX (ALCOOL/GASOLINA),30.012,N/A,N/A,10/07/2025,09:41,"R$ 28.300,00",N/A
https://loopbrasil.net/lote/TOYOTA-CD-HILUX-21-21-/29310/,TOYOTA CD HILUX 21/21,TOYOTA,CD HILUX,HILUX CD SRX 2.8 D-4D TURBO,2021,2021,N/A,NÃO,N/A,SIM,DIESEL,44.333,N/A,N/A,14/07/2025,09:41,"R$ 80.400,00",N/A
https://loopbrasil.net/lote/FIAT-MOBI-21-21-/29311/,FIAT MOBI 21/21,FIAT,MOBI,MOBI LIKE 1.0 FIRE,2021,2021,N/A,NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),26.238,N/A,N/A,14/07/2025,09:42,"R$ 13.500,00",N/A
https://loopbrasil.net/lote/VOLKSWAGEN-VIRTUS-19-20-/29210/,VOLKSWAGEN VIRTUS 19/20,VOLKSWAGEN,VIRTUS,VIRTUS COMFORTLINE 200 AT 1.0 12V TSI TURBO,2019,2020,"R$ 76.869,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),14.717,N/A,N/A,10/07/2025,09:42,"R$ 35.200,00",N/A
