Ano Modelo,Ano de Fabricacao,Chaves,Combustivel,Condicao do Motor,Data Início,Data Término,Descricao Detalhada,Final da Placa,Imagem,KM,Lance Atual,Lance Inicial,Link,Localizacao Detalhe,Lote Número,Marca,Procedencia,Situação,Tabela FIPE,Total Lances,Título,Valor Mercado,Visualizações
N/A,N/A,N/A,N/A,N/A,05/06/2025,09/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_63_chevrolet-cobalt-19-20_parquedosleilao.com_zz0ca39a8969.JPG,N/A,"R$: 26.500,00","R$: 20.700,00",https://parquedosleiloesoficial.com/lote/CHEVROLET-COBALT-19-20-/63/,N/A,00001,N/A,N/A,ARREMATADO,N/A,30,CHEVROLET COBALT 19/20,N/A,923
2022,2022,Sim,FLEX,DA PARTIDA,17/06/2025,20/06/2025,"Marca: CITROEN
Modelo: C4 
Versão: C4 CACTUS SHINE
KM: 24.297
Ano de Fabricação: 2022
Ano Modelo: 2022
Chaves: Sim
Condição do Motor: DA PARTIDA 
Tabela FIPE R$ 86.809,00
Final da Placa: 1
Combustível: FLEX
Procedência: RECUPERADO DE FINANCIAMENTO",1,https://parquedosleiloesoficial.com/web/fotos/lotes_3_citroen-c4-cactus-22-22_parquedosleilao.com_zzf1372764ad.JPG,24.297,"R$: 47.500,00","R$: 43.500,00",https://parquedosleiloesoficial.com/lote/CITROEN-C4-CACTUS-22-22-/3/,N/A,00001,CITROEN,RECUPERADO DE FINANCIAMENTO,RECEBENDO LANCES,"86.809,00",21,CITROEN C4 CACTUS 22/22,N/A,398
N/A,N/A,N/A,N/A,N/A,12/06/2025,16/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_379_fiat-argo-1-0-19-20_parquedosleilao.com_zze8d30a0094.JPG,N/A,"R$: 31.500,00","R$: 27.300,00",https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.0-19-20--/379/,N/A,00001,N/A,N/A,ARREMATADO,N/A,22,FIAT ARGO 1.0 19/20,N/A,947
N/A,N/A,N/A,N/A,N/A,02/06/2025,06/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_638_fiat-argo-1-0-22-23_parquedosleilao.com_zzed51215f9f.JPG,N/A,"R$: 0,00","R$: 21.500,00",https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.0-22-23-/638/,N/A,00001,N/A,N/A,NÃO ARREMATADO,N/A,0,FIAT ARGO 1.0 22/23,N/A,26
N/A,N/A,N/A,N/A,N/A,08/06/2025,12/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_715_honda-civic-1-8-15-16_parquedosleilao.com_zzaa3a65af88.JPG,N/A,"R$: 38.300,00","R$: 35.700,00",https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-1.8-15-16-/715/,N/A,00001,N/A,N/A,ARREMATADO,N/A,14,HONDA CIVIC 1.8 15/16,N/A,552
N/A,N/A,N/A,N/A,N/A,17/01/2025,17/01/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_1_hyundai-elantra-gls-1-8-16v-2013_saojoselances.com.br_zz73e00ba1a4.jpg,N/A,"R$: 50.600,00","R$: 17.000,00",https://parquedosleiloesoficial.com/lote/HYUNDAI-ELANTRA-GLS-1.8-16V-2013-/1/,N/A,00001,N/A,N/A,ARREMATADO,N/A,0,HYUNDAI ELANTRA GLS 1.8 16V 2013,N/A,408
N/A,N/A,N/A,N/A,N/A,06/06/2025,10/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_319_peugeot-2008-16-16_parquedosleilao.com_zzf36908b5bb.jpg,N/A,"R$: 0,00","R$: 17.400,00",https://parquedosleiloesoficial.com/lote/PEUGEOT-2008-16-16-/319/,N/A,00001,N/A,N/A,NÃO ARREMATADO,N/A,0,PEUGEOT 2008 16/16,N/A,6
N/A,N/A,N/A,N/A,N/A,01/06/2025,05/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_447_peugeot-2008-21-22_parquedosleilao.com_zzb48ea95a9d.JPG,N/A,"R$: 39.500,00","R$: 35.900,00",https://parquedosleiloesoficial.com/lote/PEUGEOT-2008-21-22-/447/,N/A,00001,N/A,N/A,ARREMATADO,N/A,19,PEUGEOT 2008 21/22,N/A,675
N/A,N/A,N/A,N/A,N/A,14/06/2025,18/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_836_peugeot-208-1-0-24-24_parquedosleilao.com_zz43d58496dc.JPG,N/A,"R$: 52.200,00","R$: 47.800,00",https://parquedosleiloesoficial.com/lote/PEUGEOT-208-1.0-24-24-/836/,N/A,00001,N/A,N/A,ARREMATADO,N/A,23,PEUGEOT 208 1.0 24/24,N/A,566
N/A,N/A,N/A,N/A,N/A,07/06/2025,11/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_502_renault-clio-1-0-14-14_parquedosleilao.com_zz7206f3e438.jpg,N/A,"R$: 0,00","R$: 15.900,00",https://parquedosleiloesoficial.com/lote/RENAULT-CLIO-1.0-14-14-/502/,N/A,00001,N/A,N/A,NÃO ARREMATADO,N/A,0,RENAULT CLIO 1.0 14/14,N/A,7
N/A,N/A,N/A,N/A,N/A,31/05/2025,04/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_124_toyota-hilux-20-20_parquedosleilao.com_zzb561748575.JPG,N/A,"R$: 91.500,00","R$: 88.300,00",https://parquedosleiloesoficial.com/lote/TOYOTA-HILUX-20-20-/124/,N/A,00001,N/A,N/A,ARREMATADO,N/A,17,TOYOTA HILUX 20/20,N/A,551
N/A,N/A,N/A,N/A,N/A,11/06/2025,13/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_259_volkswagen-t-cross-23-24_parquedosleilao.com_zz1ed5af3cf1.jpg,N/A,"R$: 52.300,00","R$: 49.700,00",https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-T-CROSS-23-24-/259/,N/A,00001,N/A,N/A,ARREMATADO,N/A,14,VOLKSWAGEN T-CROSS 23/24,N/A,318
N/A,N/A,N/A,N/A,N/A,14/06/2025,18/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_579_bmw-218i-21-22_parquedosleilao.com_zzab7402c20a.JPG,N/A,"R$: 96.900,00","R$: 94.300,00",https://parquedosleiloesoficial.com/lote/BMW-218I-21-22-/579/,N/A,00002,N/A,N/A,ARREMATADO,N/A,14,BMW 218I 21/22,N/A,522
N/A,N/A,N/A,N/A,N/A,11/06/2025,13/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_260_chevrolet-tracker-22-23_parquedosleilao.com_zz15e0779cc7.jpg,N/A,"R$: 45.900,00","R$: 42.500,00",https://parquedosleiloesoficial.com/lote/CHEVROLET-TRACKER-22-23-/260/,N/A,00002,N/A,N/A,ARREMATADO,N/A,18,CHEVROLET TRACKER 22/23,N/A,299
N/A,N/A,N/A,N/A,N/A,31/05/2025,04/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_125_chevrolet-trailblazer-18-19_parquedosleilao.com_zza897dc4c3d.JPG,N/A,"R$: 73.600,00","R$: 70.400,00",https://parquedosleiloesoficial.com/lote/CHEVROLET-TRAILBLAZER-18-19-/125/,N/A,00002,N/A,N/A,ARREMATADO,N/A,17,CHEVROLET TRAILBLAZER 18/19,N/A,601
N/A,N/A,N/A,N/A,N/A,07/06/2025,11/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_503_citroen-c3-1-5-12-13_parquedosleilao.com_zz247df9d74a.jpg,N/A,"R$: 0,00","R$: 17.600,00",https://parquedosleiloesoficial.com/lote/CITROEN-C3-1.5-12-13-/503/,N/A,00002,N/A,N/A,NÃO ARREMATADO,N/A,0,CITROËN C3 1.5 12/13,N/A,5
N/A,N/A,N/A,N/A,N/A,12/06/2025,16/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_380_citroen-c4-cactus-1-6-22-23_parquedosleilao.com_zz74d248160f.JPG,N/A,"R$: 46.000,00","R$: 40.400,00",https://parquedosleiloesoficial.com/lote/CITROEN-C4-CACTUS-1.6-22-23-/380/,N/A,00002,N/A,N/A,ARREMATADO,N/A,29,CITROEN C4 CACTUS 1.6 22/23,N/A,976
N/A,N/A,N/A,N/A,N/A,01/06/2025,05/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_448_fiat-argo-1-0-20-21_parquedosleilao.com_zze5dbd5d242.JPG,N/A,"R$: 32.200,00","R$: 29.400,00",https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.0-20-21-/448/,N/A,00002,N/A,N/A,ARREMATADO,N/A,15,FIAT ARGO 1.0 20/21,N/A,608
