titulo,link,imagem,km_veiculo,lance_inicial,valor_do_lance,data_leilao,marca_veiculo,final_da_placa_veiculo,ano_fabricacao_veiculo,ano_modelo_veiculo,chaves_veiculo,condicao_motor_veiculo,tabela_fipe_veiculo,combustivel_veiculo,procedencia_veiculo,total_lances,modelo_veiculo
CHEVROLET COBALT 19/20,https://parquedosleiloesoficial.com/lote/CHEVROLET-COBALT-19-20-/63/,https://parquedosleiloesoficial.com/web/fotos/lotes_63_chevrolet-cobalt-19-20_parquedosleilao.com_zz0ca39a8969.JPG,N/A,20700.00,0.00,26/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CITROEN C4 CACTUS 22/22,https://parquedosleiloesoficial.com/lote/CITROEN-C4-CACTUS-22-22-/3/,https://parquedosleiloesoficial.com/web/fotos/lotes_3_citroen-c4-cactus-22-22_parquedosleilao.com_zzf1372764ad.JPG,N/A,43500.00,0.00,20/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT ARGO 1.0 19/20,https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.0-19-20--/379/,https://parquedosleiloesoficial.com/web/fotos/lotes_379_fiat-argo-1-0-19-20_parquedosleilao.com_zze8d30a0094.JPG,N/A,27300.00,31500.00,03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT ARGO 1.0 22/23,https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.0-22-23-/638/,https://parquedosleiloesoficial.com/web/fotos/lotes_638_fiat-argo-1-0-22-23_parquedosleilao.com_zzed51215f9f.JPG,N/A,21500.00,24900.00,25/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HONDA CIVIC 1.8 15/16,https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-1.8-15-16-/715/,https://parquedosleiloesoficial.com/web/fotos/lotes_715_honda-civic-1-8-15-16_parquedosleilao.com_zzaa3a65af88.JPG,N/A,35700.00,38900.00,01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HYUNDAI ELANTRA GLS 1.8 16V 2013,https://parquedosleiloesoficial.com/lote/HYUNDAI-ELANTRA-GLS-1.8-16V-2013-/1/,https://parquedosleiloesoficial.com/web/fotos/lotes_1_hyundai-elantra-gls-1-8-16v-2013_saojoselances.com.br_zz73e00ba1a4.jpg,N/A,17000.00,50600.00,17/01/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEUGEOT 2008 16/16,https://parquedosleiloesoficial.com/lote/PEUGEOT-2008-16-16-/319/,https://parquedosleiloesoficial.com/web/fotos/lotes_319_peugeot-2008-16-16_parquedosleilao.com_zzf36908b5bb.jpg,N/A,17400.00,0.00,27/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEUGEOT 2008 21/22,https://parquedosleiloesoficial.com/lote/PEUGEOT-2008-21-22-/447/,https://parquedosleiloesoficial.com/web/fotos/lotes_447_peugeot-2008-21-22_parquedosleilao.com_zzb48ea95a9d.JPG,N/A,35900.00,37900.00,24/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEUGEOT 208 1.0 24/24,https://parquedosleiloesoficial.com/lote/PEUGEOT-208-1.0-24-24-/836/,https://parquedosleiloesoficial.com/web/fotos/lotes_836_peugeot-208-1-0-24-24_parquedosleilao.com_zz43d58496dc.JPG,4.166,47800.00,50800.00,07/07/2025,PEUGEOT,6,2024,2024,Sim,N/A,N/A,FLEX,RECUPERADO DE FINANCIAMENTO,N/A,2024
RENAULT CLIO 1.0 14/14,https://parquedosleiloesoficial.com/lote/RENAULT-CLIO-1.0-14-14-/502/,https://parquedosleiloesoficial.com/web/fotos/lotes_502_renault-clio-1-0-14-14_parquedosleilao.com_zz7206f3e438.jpg,N/A,15900.00,21100.00,30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TOYOTA HILUX 20/20,https://parquedosleiloesoficial.com/lote/TOYOTA-HILUX-20-20-/124/,https://parquedosleiloesoficial.com/web/fotos/lotes_124_toyota-hilux-20-20_parquedosleilao.com_zzb561748575.JPG,N/A,88300.00,92500.00,23/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN T-CROSS 23/24,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-T-CROSS-23-24-/259/,https://parquedosleiloesoficial.com/web/fotos/lotes_259_volkswagen-t-cross-23-24_parquedosleilao.com_zz1ed5af3cf1.jpg,N/A,49700.00,51700.00,02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BMW 218I 21/22,https://parquedosleiloesoficial.com/lote/BMW-218I-21-22-/579/,https://parquedosleiloesoficial.com/web/fotos/lotes_579_bmw-218i-21-22_parquedosleilao.com_zzab7402c20a.JPG,17.704,94300.00,96900.00,07/07/2025,BMW,4,2021,2022,Sim,N/A,N/A,FLEX,RECUPERADO DE FINANCIAMENTO,N/A,2022
CHEVROLET TRACKER 22/23,https://parquedosleiloesoficial.com/lote/CHEVROLET-TRACKER-22-23-/260/,https://parquedosleiloesoficial.com/web/fotos/lotes_260_chevrolet-tracker-22-23_parquedosleilao.com_zz15e0779cc7.jpg,N/A,42500.00,44900.00,02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
