titulo,link,imagem,km_veiculo,lance_inicial,valor_do_lance,data_leilao,marca_veiculo,final_da_placa_veiculo,ano_fabricacao_veiculo,ano_modelo_veiculo,chaves_veiculo,condicao_motor_veiculo,tabela_fipe_veiculo,combustivel_veiculo,procedencia_veiculo,total_lances,modelo_veiculo,veiculo_tipo,veiculo_patio_uf,veiculo_valor_vendido
CHEVROLET COBALT 19/20,https://parquedosleiloesoficial.com/lote/CHEVROLET-COBALT-19-20-/63/,https://parquedosleiloesoficial.com/web/fotos/lotes_63_chevrolet-cobalt-19-20_parquedosleilao.com_zz0ca39a8969.JPG,46.817,20700.00,"R$ 23.900,00",14/07/2025,CHEVROLET,1,2019,2020,Sim,DA PARTIDA FUNCIONA E ENGRENA,"R$ 61.389,00",Flex,RECUPERADO DE FINANCIAMENTO,N/A,COBALT,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
N/A,https://parquedosleiloesoficial.com/lote/CITROEN-C4-CACTUS-22-22-/3/,https://parquedosleiloesoficial.com/web/fotos/lotes_3_citroen-c4-cactus-22-22_parquedosleilao.com_zzf1372764ad.JPG,N/A,43500.00,"R$ 48.900,00",08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 48.900,00"
FIAT ARGO 1.0 19/20,https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.0-19-20--/379/,https://parquedosleiloesoficial.com/web/fotos/lotes_379_fiat-argo-1-0-19-20_parquedosleilao.com_zze8d30a0094.JPG,N/A,27300.00,"R$ 31.500,00",03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ARGO,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 31.500,00"
FIAT ARGO 1.0 22/23,https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.0-22-23-/638/,https://parquedosleiloesoficial.com/web/fotos/lotes_638_fiat-argo-1-0-22-23_parquedosleilao.com_zzed51215f9f.JPG,N/A,21500.00,"R$ 26.700,00",11/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ARGO,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 26.700,00"
HONDA CIVIC 1.8 15/16,https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-1.8-15-16-/715/,https://parquedosleiloesoficial.com/web/fotos/lotes_715_honda-civic-1-8-15-16_parquedosleilao.com_zzaa3a65af88.JPG,N/A,35700.00,"R$ 38.900,00",01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CIVIC,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 38.900,00"
HYUNDAI ELANTRA GLS 1.8 16V 2013,https://parquedosleiloesoficial.com/lote/HYUNDAI-ELANTRA-GLS-1.8-16V-2013-/1/,https://parquedosleiloesoficial.com/web/fotos/lotes_1_hyundai-elantra-gls-1-8-16v-2013_saojoselances.com.br_zz73e00ba1a4.jpg,N/A,17000.00,"R$ 50.600,00",17/01/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ELANTRA,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 50.600,00"
PEUGEOT 2008 16/16,https://parquedosleiloesoficial.com/lote/PEUGEOT-2008-16-16-/319/,https://parquedosleiloesoficial.com/web/fotos/lotes_319_peugeot-2008-16-16_parquedosleilao.com_zzf36908b5bb.jpg,74.987,17400.00,"R$ 19.800,00",15/07/2025,PEUGEOT,0,2016,2016,Sim,DA PARTIDA,"R$ 54.965,00",FLEX,RECUPERADO DE FINANCIAMENTO,N/A,2008,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
PEUGEOT 2008 21/22,https://parquedosleiloesoficial.com/lote/PEUGEOT-2008-21-22-/447/,https://parquedosleiloesoficial.com/web/fotos/lotes_447_peugeot-2008-21-22_parquedosleilao.com_zzb48ea95a9d.JPG,N/A,35900.00,"R$ 41.100,00",10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2008,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 41.100,00"
PEUGEOT 208 1.0 24/24,https://parquedosleiloesoficial.com/lote/PEUGEOT-208-1.0-24-24-/836/,https://parquedosleiloesoficial.com/web/fotos/lotes_836_peugeot-208-1-0-24-24_parquedosleilao.com_zz43d58496dc.JPG,N/A,47800.00,"R$ 52.600,00",07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,208,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 52.600,00"
RENAULT CLIO 1.0 14/14,https://parquedosleiloesoficial.com/lote/RENAULT-CLIO-1.0-14-14-/502/,https://parquedosleiloesoficial.com/web/fotos/lotes_502_renault-clio-1-0-14-14_parquedosleilao.com_zz7206f3e438.jpg,N/A,15900.00,"R$ 21.100,00",30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CLIO,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 21.100,00"
TOYOTA HILUX 20/20,https://parquedosleiloesoficial.com/lote/TOYOTA-HILUX-20-20-/124/,https://parquedosleiloesoficial.com/web/fotos/lotes_124_toyota-hilux-20-20_parquedosleilao.com_zzb561748575.JPG,N/A,88300.00,"R$ 92.300,00",09/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HILUX,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 92.300,00"
VOLKSWAGEN T-CROSS 23/24,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-T-CROSS-23-24-/259/,https://parquedosleiloesoficial.com/web/fotos/lotes_259_volkswagen-t-cross-23-24_parquedosleilao.com_zz1ed5af3cf1.jpg,N/A,49700.00,"R$ 51.700,00",02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T-CROSS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 51.700,00"
BMW 218I 21/22,https://parquedosleiloesoficial.com/lote/BMW-218I-21-22-/579/,https://parquedosleiloesoficial.com/web/fotos/lotes_579_bmw-218i-21-22_parquedosleilao.com_zzab7402c20a.JPG,N/A,94300.00,"R$ 98.700,00",07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,218I,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 98.700,00"
CHEVROLET TRACKER 22/23,https://parquedosleiloesoficial.com/lote/CHEVROLET-TRACKER-22-23-/260/,https://parquedosleiloesoficial.com/web/fotos/lotes_260_chevrolet-tracker-22-23_parquedosleilao.com_zz15e0779cc7.jpg,N/A,42500.00,"R$ 44.900,00",02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRACKER,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 44.900,00"
CHEVROLET TRAILBLAZER 18/19,https://parquedosleiloesoficial.com/lote/CHEVROLET-TRAILBLAZER-18-19-/125/,https://parquedosleiloesoficial.com/web/fotos/lotes_125_chevrolet-trailblazer-18-19_parquedosleilao.com_zza897dc4c3d.JPG,N/A,70400.00,"R$ 74.600,00",09/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRAILBLAZER,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 74.600,00"
CITROËN C3 1.5 12/13,https://parquedosleiloesoficial.com/lote/CITROEN-C3-1.5-12-13-/503/,https://parquedosleiloesoficial.com/web/fotos/lotes_503_citroen-c3-1-5-12-13_parquedosleilao.com_zz247df9d74a.jpg,N/A,17600.00,"R$ 21.600,00",30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 21.600,00"
CITROEN C4 CACTUS 1.6 22/23,https://parquedosleiloesoficial.com/lote/CITROEN-C4-CACTUS-1.6-22-23-/380/,https://parquedosleiloesoficial.com/web/fotos/lotes_380_citroen-c4-cactus-1-6-22-23_parquedosleilao.com_zz74d248160f.JPG,N/A,40400.00,"R$ 43.800,00",03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C4,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 43.800,00"
FIAT ARGO 1.0 20/21,https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.0-20-21-/448/,https://parquedosleiloesoficial.com/web/fotos/lotes_448_fiat-argo-1-0-20-21_parquedosleilao.com_zze5dbd5d242.JPG,N/A,29400.00,"R$ 34.600,00",10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ARGO,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 34.600,00"
FIAT ARGO 1.3 17/18,https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.3-17-18-/320/,https://parquedosleiloesoficial.com/web/fotos/lotes_320_fiat-argo-1-3-17-18_parquedosleilao.com_zz1a39d38146.jpg,162.197,16800.00,"R$ 17.800,00",15/07/2025,FIAT,1,2017,2018,Sim,DA PARTIDA,"R$ 52.602,00",FLEX,RECUPERADO DE FINANCIAMENTO,N/A,ARGO,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
N/A,https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-2.0-17-17-/639/,https://parquedosleiloesoficial.com/web/fotos/lotes_639_honda-civic-2-0-17-17_parquedosleilao.com_zzed1f828361.JPG,N/A,40200.00,"R$ 44.200,00",11/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 44.200,00"
