Título,Link,Imagem,UF,Ano,KM,Valor do Lance,Situação,Data Leilão,Detalhe Ano Veículo,Detalhe Combustível,Detalhe KM Veículo,Detalhe Valor Mercado,Detalhe Cor,Detalhe Possui Chave,Detalhe Tipo Retomada,Detalhe Localização,Detalhe Tipo Veículo
VOLKSWAGEN/FOX GII 1.0 (2P/4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2010/d645d8c0-9301-11ef-ab5e-02420a000046,N/A,SP,2010,140.155 km,"R$ 11.900,00",Leilão ao vivo em: 1 dia 5h46m21s,23/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/654d6c13-cf6a-11ef-8e48-02420a000017,N/A,PR,2009,84.960 km,"R$ 11.300,00",Leilão ao vivo em: 1 dia 5h47m12s,23/06/2025,,,,,,,,,
NISSAN/FRONTIER SV ATTACK 4X4 CABINE DUPLA,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/nissan/frontier-sv-attack-4x4-cabine-dupla/ano.2014/f2d9fdae-ee25-11ef-bd15-02420a00000b,N/A,PR,2014,259.322 km,"R$ 44.000,00",Leilão ao vivo em: 1 dia 5h47m33s,23/06/2025,,,,,,,,,
CITROEN/C3 GLX 14 FLEX (2P/4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/citroen/c3-glx-14-flex-(2p%2F4p)/ano.2011/06451539-29bc-11f0-9f79-02420a000005,N/A,PR,2011,187.414 km,"R$ 9.000,00",Leilão ao vivo em: 1 dia 5h47m54s,23/06/2025,,,,,,,,,
AUDI/A3 LIMOUSINE I (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/audi/a3-limousine-i-(4p)/ano.2015/123d92ee-bcb6-11ef-8e48-02420a000017,N/A,SP,2015,218.294 km,"R$ 44.000,00",Leilão ao vivo em: 1 dia 5h48m14s,23/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 (2P/4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2012/e1798bac-163d-11f0-b6cf-02420a00009e,N/A,PR,2011,N/A,"R$ 10.000,00",Leilão ao vivo em: 1 dia 5h49m6s,23/06/2025,,,,,,,,,
FORD/KA HATCH SE 1.0 C (4P),https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2019/30d66932-8bca-11ef-a6ca-02420a000013,N/A,RS,2018,N/A,"R$ 17.000,00",Leilão ao vivo em: 1 dia 5h49m25s,23/06/2025,,,,,,,,,
BMW/320I VA71,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/bmw/320i-va71/ano.2007/2d4d96c2-be21-11ef-8e48-02420a000017,N/A,SP,2006,N/A,"R$ 20.000,00",Leilão ao vivo em: 1 dia 5h49m46s,23/06/2025,,,,,,,,,
VOLKSWAGEN/GOL 1.0 GIV (2P/4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/gol-1.0-giv-(2p%2F4p)/ano.2014/fe6d7abb-1f72-11ef-b7fa-02420a00001f,N/A,SP,2013,139.039 km,"R$ 12.000,00",Leilão ao vivo em: 1 dia 5h50m9s,23/06/2025,,,,,,,,,
FIAT/SIENA FIRE FLEX (2P/4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/fiat/siena-fire-flex-(2p%2F4p)/ano.2010/671dc2e6-1af5-11f0-abeb-02420a0000a3,N/A,PR,2009,155.047 km,"R$ 10.200,00",Leilão ao vivo em: 1 dia 5h50m30s,23/06/2025,,,,,,,,,
TOYOTA/CAMRY XLE,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/toyota/camry-xle/ano.2019/3b6b00bd-0c99-11ef-b80e-02420a000059,N/A,SP,2018,N/A,"R$ 86.900,00",Leilão ao vivo em: 1 dia 5h50m52s,23/06/2025,,,,,,,,,
MITSUBISHI/PAJERO HPE D,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/mitsubishi/pajero-hpe-d/ano.2010/fea1b4a3-b658-11ef-8e48-02420a000017,N/A,PR,2009,N/A,"R$ 38.000,00",Leilão ao vivo em: 1 dia 5h51m10s,23/06/2025,,,,,,,,,
RENAULT/LOGAN EXPRESSION (2P/4P),https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/renault/logan-expression-(2p%2F4p)/ano.2011/d4221903-e400-11ef-903d-02420a000042,N/A,RS,2010,282.195 km,"R$ 8.000,00",Leilão ao vivo em: 1 dia 5h51m29s,23/06/2025,,,,,,,,,
RENAULT/SANDERO EXPRESSION (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/renault/sandero-expression-(4p)/ano.2019/ae8347c3-13e6-11f0-b6cf-02420a00009e,N/A,SP,2018,180.113 km,"R$ 20.000,00",Leilão ao vivo em: 1 dia 5h52m22s,23/06/2025,,,,,,,,,
